oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
604103100006917,62544493,2458379.9493861566,58379.444930600002,16.757803,0.0169300586,0,zg,30.3633305,23.831363199999998,1.04799998,-0.0410000011,20180918444919,604,0x3,0x1,21.6900005,26.3748474,0.027758332,-0.106295072,1.39222748e-05,30,1.01800001,3
604103100006917,62844499,2458382.9496386312,58382.445,16.8475971,0.0173487496,0,zg,30.363340600000001,23.831326000000001,1.96500003,-0.165000007,20180921444965,604,0x3,0x1,22.0900002,26.3738689,0.0252216104,-0.122267544,1.16542597e-05,30,1.02600002,3
604103100006917,62947857,2458383.9832753949,58383.478576399997,16.7983131,0.0171141513,0,zg,30.363332700000001,23.831327000000002,1.14499998,-0.100000001,20180922478565,604,0x3,0x1,21.8999996,26.3119049,0.0272277333,-0.0952126756,1.3574595e-05,30,1.08700001,3
604103100006917,63049873,2458385.0034955908,58384.498738399998,16.6662579,0.0165415872,0,zg,30.3633457,23.8313299,2.01399994,-0.0820000023,20180923498715,604,0x3,0x1,21.1299992,26.3140888,0.0327394754,-0.109145708,2.12155483e-05,30,1.15400004,3
604103100006917,63144311,2458385.9479232626,58385.443113399997,16.7373753,0.0168401245,0,zg,30.363335299999999,23.831327999999999,1.38499999,-0.0670000017,20180924443102,604,0x3,0x1,20.4200001,26.339468,0.0390620939,-0.0906762406,4.09284403e-05,30,1.03299999,3
604103100006917,63145233,2458385.9571483675,58385.452338000003,16.7582893,0.0169322211,0,zg,30.363338800000001,23.8313305,0.773000002,-0.00899999961,20180924452326,604,0x3,0x1,20.5100002,26.3254642,0.0342331752,-0.0646214485,2.96207672e-05,30,1.046,1
604103100006917,63246673,2458386.971601652,58386.466736100003,16.8276386,0.0172523092,0,zg,30.363342899999999,23.831336400000001,0.312000006,-0.0109999999,20180925466725,604,0x3,0x1,19.7900009,26.3461628,0.0376018584,-0.0887490138,5.78745421e-05,30,1.079,3
604103100006917,63637711,2458390.8821831001,58390.377118099997,16.7074852,0.0167119391,0,zg,30.363320699999999,23.831333300000001,0.814999998,-0.0199999996,20180929376771,604,0x3,0x1,20.7900009,26.3569145,0.0326931179,-0.0792198628,2.41134858e-05,30,1.00999999,1
604103100006917,64337350,2458397.8788734823,58397.373506900003,16.7981834,0.0171135478,0,zg,30.3633256,23.831328599999999,1.57299995,-0.0960000008,20181006373484,604,0x3,0x1,21.9400005,26.3469582,0.0270955041,-0.128080219,1.31858087e-05,30,1.00800002,1
604103100006917,67135920,2458425.8649897515,58425.359201400002,16.7483826,0.0168883502,0,zg,30.363331899999999,23.8313235,1.55900002,-0.0820000023,20181103359167,604,0x3,0x1,21.8600006,26.347023,0.0276135039,-0.108328745,1.38453142e-05,30,1.08000004,1
604103100006917,67421931,2458428.7250744482,58428.219317100004,16.8730297,0.0174745396,0,zg,30.3633229,23.831320600000002,0.540000021,0.0209999997,20181106219306,604,0x3,0x1,21.7900009,26.3393898,0.0280259345,-0.0842434391,1.45086269e-05,30,1.08000004,1
