tic,template_k,template_source_id,template_status,wg_contrasts,a_sid,b_sid,a_status,b_status,a_usable,b_usable,pair_usable,D_A,D_B,R_A,R_B,trigger_pair_class,recovery_pair_class,analysis_status,prespecified,interval
229581336,0,6617454235493798272,not_detected,6,9302295813360220000,9202295813360220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
229581336,1,2984906067750284928,not_detected,76,9302295813361220000,9202295813361220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
229581336,2,1228266814506156928,candidate,443,9302295813362220000,9202295813362220000,not_detected,candidate,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
230029140,0,4089730604499317760,not_detected,8,9302300291400220000,9202300291400220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
230029140,1,2667317799127474944,confirmed,62,9302300291401220000,9202300291401220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
230029140,2,4517992170175866368,confirmed,369,9302300291402220000,9202300291402220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
230384389,0,3681220906102862720,not_detected,2,9302303843890220000,9202303843890220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
230384389,1,2026653131220381824,confirmed,81,9302303843891220000,9202303843891220000,confirmed,confirmed,True,True,True,True,True,False,False,both,neither,postlaunch_descriptive,False,none
230384389,2,926002203218885504,confirmed,786,9302303843892220000,9202303843892220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
231277791,0,4089730604499317760,not_detected,8,9302312777910220000,9202312777910220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
231277791,1,2667317799127474944,confirmed,62,9302312777911220000,9202312777911220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
231277791,2,521232768574387072,confirmed,359,9302312777912220000,9202312777912220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
232979174,0,6617454235493798272,not_detected,6,9302329791740220000,9202329791740220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
232979174,1,3238056353617774336,not_detected,62,9302329791741220000,9202329791741220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
232979174,2,2240031951187372928,confirmed,442,9302329791742220000,9202329791742220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
238815671,0,3705386281897262848,not_detected,6,9302388156710220000,9202388156710220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
238815671,1,279512833789658752,candidate,63,9302388156711220000,9202388156711220000,confirmed,candidate,True,True,True,True,False,True,False,A_only,A_only,postlaunch_descriptive,False,none
238815671,2,1228266814506156928,candidate,443,9302388156712220000,9202388156712220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
264172524,0,3690323316193465344,not_detected,8,9302641725240220000,9202641725240220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
264172524,1,2719317414856391040,not_detected,64,9302641725241220000,9202641725241220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
264172524,2,1510467090935595008,confirmed,391,9302641725242220000,9202641725242220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
273206673,0,3705386281897262848,not_detected,6,9302732066730220000,9202732066730220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
273206673,1,4309653752005719424,confirmed,65,9302732066731220000,9202732066731220000,candidate,candidate,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
273206673,2,2719012579552367488,confirmed,445,9302732066732220000,9202732066732220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
282783760,0,5728258080939094784,confirmed,5,9302827837600220000,9202827837600220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
282783760,1,3321431014682434176,not_detected,56,9302827837601220000,9202827837601220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
282783760,2,2128767627936545280,confirmed,413,9302827837602220000,9202827837602220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
287926830,0,6191268135405788544,not_detected,5,9302879268300220000,9202879268300220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
287926830,1,323342459647016448,confirmed,75,9302879268301220000,9202879268301220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
287926830,2,2260805780286092032,candidate,478,9302879268302220000,9202879268302220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
304024058,0,6617454235493798272,not_detected,6,9303040240580220000,9203040240580220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
304024058,1,279512833789658752,candidate,63,9303040240581220000,9203040240581220000,candidate,candidate,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
304024058,2,1228266814506156928,candidate,443,9303040240582220000,9203040240582220000,confirmed,confirmed,True,True,True,True,True,False,False,both,neither,postlaunch_descriptive,False,none
313109945,0,3429818633270156416,not_detected,13,9303131099450220000,9203131099450220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
313109945,1,258439731372229120,not_detected,61,9303131099451220000,9203131099451220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
313109945,2,305256043125603968,confirmed,550,9303131099452220000,9203131099452220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
317153172,0,4089730604499317760,not_detected,8,9303171531720220000,9203171531720220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
317153172,1,2667317799127474944,confirmed,62,9303171531721220000,9203171531721220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
317153172,2,4517992170175866368,confirmed,369,9303171531722220000,9203171531722220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
343296348,0,6617454235493798272,not_detected,6,9303432963480220000,9203432963480220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
343296348,1,4309653752005719424,confirmed,65,9303432963481220000,9203432963481220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
