sid,external_id,class_label,label_positive,weight,cluster,primary_freq,amp,truth_period_days,freq_scorable,arm,scenario,template_k,pool_index,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,dropped_period_s,crowdsap,cadence_code,cadence_s,n_strata_scheduled,null_serial,control_campaign_id,shard_sha256,median_exp_per_night,template_status,baseline_days,n_exp_zg,n_exp_zr,best_pass,best_status,best_frequency_per_day,low_available,high_available,low_status,low_frequency_per_day,low_match,low_match_primary,low_eligible,high_status,high_frequency_per_day,high_match,high_match_primary,high_eligible,best_candidate_matches_any_mode,best_candidate_matches_dominant,any_top_peak_matches_any_mode,eligible_any_pass,census_variable,census_g_nightly,prov_valid,platform_boundary_sensitive,platform_boundary_fields
9200337175651320000,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,ladder_g3r2,1,531,2.1,0.8,0,1.0,False,,,0,20.0,1,-1,9500000000000000531,e88d0dec331227498ba185d213897aba371a623a489fd13c0dc3088b9c67734f,1.0,not_detected,2745.310344768688,456,528,low,not_detected,28.5415818831958,True,True,not_detected,28.5415818831958,unmatched,unmatched,False,not_detected,601.5012296956113,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200337175651330000,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,ladder_g3r3,1,531,2.1,0.9,0,1.0,False,,,0,20.0,1,-1,9500000000000000531,fd5cc49f945035580257f53a1301b2185b160ecfcdc70811cd92c063260a5e90,1.0,not_detected,2745.310344768688,456,528,low,not_detected,28.5415818831958,True,True,not_detected,28.5415818831958,unmatched,unmatched,False,not_detected,601.5012296956113,unmatched,unmatched,True,unmatched,unmatched,True,True,False,False,True,False,
9200337175651221000,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,phase_1,1,531,1.7,0.8,1,1.0,False,,,0,20.0,1,-1,9500000000000000531,2f28930d2b50f2e8e1ba5121a1606bbf20550d83feb2989e7e9688137d8dbda6,1.0,not_detected,2745.310344768688,456,528,low,not_detected,34.25212023084513,True,True,not_detected,34.25212023084513,unmatched,unmatched,False,not_detected,1410.773814936678,unmatched,unmatched,True,unmatched,unmatched,True,True,False,False,True,False,
9200337175651222000,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,phase_2,1,531,1.7,0.8,2,1.0,False,,,0,20.0,1,-1,9500000000000000531,39578df0b385ab8c2f0999bfc0c7ebf02d298ba9799be054294bc88aebc7af0b,1.0,not_detected,2745.310344768688,456,528,low,not_detected,34.377971211831074,True,True,not_detected,34.377971211831074,unmatched,unmatched,False,not_detected,349.84534630286834,unmatched,unmatched,True,unmatched,unmatched,True,True,False,False,True,False,
9200337175651220100,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,ampscale_0.7,1,531,1.7,0.8,0,0.7,False,,,0,20.0,1,-1,9500000000000000531,63257b93fb4c622f9fd2a36fb4b961d79bc0499ce6246bb62a469a6c44e03e23,1.0,not_detected,2745.310344768688,456,528,low,not_detected,28.5415818831958,True,True,not_detected,28.5415818831958,unmatched,unmatched,False,not_detected,634.9061233080043,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200337175651220200,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,ampscale_1.3,1,531,1.7,0.8,0,1.3,False,,,0,20.0,1,-1,9500000000000000531,49f056cf08e55a0dd1d47c3f3bd5127e10acb252d296d463aeb7075485b3ba22,1.0,not_detected,2745.310344768688,456,528,low,not_detected,46.77733438942771,True,True,not_detected,46.77733438942771,unmatched,unmatched,False,not_detected,601.5012296956113,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200337175651220300,TIC 33717565,arm_B,True,1.0,33717565,163.9562024403666,6.08,0.006099189814814815,True,B,dropout,1,531,1.7,0.8,0,1.0,True,364.92,,0,20.0,1,-1,9500000000000000531,07cc45681ca11b487b2dbab4f86cbcb41f149e004bfd35f6dae04f3b26d1cc3f,1.0,not_detected,2745.310344768688,456,528,low,not_detected,27.704663753200705,True,True,not_detected,27.704663753200705,unmatched,unmatched,False,not_detected,625.838077486723,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200337175651220001,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,cadence_alt,1,531,1.7,0.8,0,1.0,False,,,1,120.0,1,-1,9500000000000000531,1d49e3a6a0b29c96855ccef5cab9789bc60647ada47e17e15ae46728dd600694,1.0,not_detected,2745.310344768688,456,528,low,not_detected,28.5415818831958,True,True,not_detected,28.5415818831958,unmatched,unmatched,False,not_detected,601.5012296956113,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9201419762470220000,TIC 141976247,arm_B,True,1.0,141976247,330.12379642365886,0.86,0.003029166666666667,True,B,nominal,0,290,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,9500000000000000290,696d764af3ead9dee72b15747118f4cf3b1349d6d3ef4db19861116afda023c9,1.0,not_detected,2648.898938031867,524,514,low,not_detected,2.0024546515697184,True,True,not_detected,2.0024546515697184,unmatched,unmatched,False,not_detected,496.1705996565103,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9301419762470220000,TIC 141976247,arm_A,True,1.0,141976247,330.12379642365886,0.86,0.003029166666666667,True,A,nominal,0,290,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,,b59af477564a1955e3b96cc42048e50a411a709a300c0508815fb51ae6740611,1.0,not_detected,2648.898938031867,524,514,low,not_detected,9.472690573330636,True,True,not_detected,9.472690573330636,unmatched,unmatched,False,not_detected,517.1395008110669,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9201419762471220000,TIC 141976247,arm_B,True,1.0,141976247,330.12379642365886,0.86,0.003029166666666667,True,B,nominal,1,576,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,9500000000000000576,dfb876cf6f42b83fc1c67205feb15dc82cc9bdb5cf6793fb3eed690917f496a3,1.0,not_detected,2770.254053567536,322,980,low,not_detected,1.002796114104585,True,True,not_detected,1.002796114104585,unmatched,unmatched,False,not_detected,339.9318542907289,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9301419762471220000,TIC 141976247,arm_A,True,1.0,141976247,330.12379642365886,0.86,0.003029166666666667,True,A,nominal,1,576,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,,7975e1fbbf6ca6a4299dea77e09390ab71ce96edb7251209d3043baa30074db9,1.0,not_detected,2770.254053567536,322,980,low,not_detected,16.954762665002967,True,True,not_detected,16.954762665002967,unmatched,unmatched,False,not_detected,626.4428690396692,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9201419762472220000,TIC 141976247,arm_B,True,1.0,141976247,330.12379642365886,0.86,0.003029166666666667,True,B,nominal,2,100,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,9500000000000000100,d7abadabf636948881fc5ba2fbfbb1fe69c604e6160a409a523e9f4827a330a0,2.0,confirmed,2701.8030513930134,1958,1756,high,confirmed,413.0400151328802,True,True,not_detected,1.0027007699925516,unmatched,unmatched,False,confirmed,413.0400151328802,unmatched,unmatched,True,unmatched,unmatched,False,True,True,False,True,False,
9301419762472220000,TIC 141976247,arm_A,True,1.0,141976247,330.12379642365886,0.86,0.003029166666666667,True,A,nominal,2,100,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,,36a5113815d4d790ceaf835249ebb88438fe9f2932bfccfb010da6053702c8f1,2.0,confirmed,2701.8030513930134,1958,1756,low,not_detected,28.088205748702794,True,True,not_detected,28.088205748702794,unmatched,unmatched,False,not_detected,1345.7904606920656,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
