tic,period_s,published_amp_ppt,recovered_amp_ppt,amp_ratio,snr,spoc_snr4_limit_ppt,paper_fap_ppt,marginal_vs_paper_fap,marginal_vs_spoc_limit
21187072,794.27,3.13,3.0713116523826627,0.9812497291957389,6.229042540826902,1.9722528027396953,3.13,True,False
21187072,823.67,3.25,2.406540590443064,0.740474027828635,4.8807953769417205,1.9722528027396953,3.13,True,False
21187072,887.47,3.32,3.312595097382371,0.9977696076452925,6.718398559821093,1.9722528027396953,3.13,True,False
21187072,1076.93,4.13,4.094274387429465,0.9913497306124612,8.303751692971666,1.9722528027396953,3.13,True,False
29862344,352.09,2.22,0.8827105207374322,0.39761735168352796,2.697414601811993,1.3089727031869256,2.67,True,False
29862344,737.57,3.37,1.0762702224198717,0.31936801852221713,3.2889004325285054,1.3089727031869256,2.67,True,False
29862344,857.43,4.03,2.061686170952102,0.5115846578044918,6.300165514322988,1.3089727031869256,2.67,False,False
29862344,898.93,2.74,1.6334673471491876,0.5961559661128422,4.991600949881453,1.3089727031869256,2.67,True,False
232979174,282.66,3.54,1.310071744674519,0.37007676403234996,3.3092796620075826,1.5835128831387562,2.34,False,False
229581336,420.18,2.2,1.4428756907013842,0.6558525866824473,4.331298191819705,1.3325110641668287,2.2,True,False
229581336,519.02,2.29,1.29646345855074,0.5661412482754323,3.891790450119443,1.3325110641668287,2.2,True,False
229581336,1106.46,3.33,3.0388789064542086,0.912576248184447,9.122262435709862,1.3325110641668287,2.2,False,False
24603397,262.65,3.13,0.44559396490267617,0.14236228910628632,1.5662127889957356,1.1380164126699375,1.94,False,False
72637474,814.44,2.56,2.1168233797104232,0.8268841326993841,4.889196274451356,1.7318375134759456,2.51,True,True
72637474,901.16,2.69,2.575384199260762,0.9573918956359709,5.948327552027087,1.7318375134759456,2.51,True,False
72637474,966.24,2.55,2.0554372861110437,0.8060538376906055,4.74741370392331,1.7318375134759456,2.51,True,True
79353860,525.55,2.37,1.6692990116262836,0.704345574525858,4.367383666239667,1.5288778263564429,2.13,True,False
79353860,945.15,2.63,0.8701996182087397,0.33087437954704935,2.276701521095542,1.5288778263564429,2.13,True,False
79353860,982.02,2.34,2.0837970271502364,0.8905115500642037,5.451833995437696,1.5288778263564429,2.13,True,False
220555122,137.54,2.29,0.4738010514819877,0.20690002248121733,1.3498218520202194,1.4040402465640052,2.23,True,False
220555122,243.89,2.52,0.7058558017449446,0.2801015086289462,2.010927545623649,1.4040402465640052,2.23,True,False
220555122,539.45,2.36,1.0813669020462073,0.45820631442635906,3.0807290736645183,1.4040402465640052,2.23,True,False
158068117,268.45,2.48,0.9603490970993735,0.3872375391529732,2.701249944601843,1.4220810614264374,1.98,True,False
344130696,1018.68,2.43,1.9041117473373064,0.783585081208768,5.747433255468442,1.3251910289001607,2.0,True,False
344130696,1057.48,2.17,2.0376742730345896,0.9390204023200874,6.150582757040704,1.3251910289001607,2.0,True,False
207206751,627.26,1.49,1.4986392954507783,1.0057981848662942,8.091244501878538,0.7408696128773962,0.93,False,False
207206751,776.31,2.03,2.0204769642624543,0.9953088493903717,10.9086777437952,0.7408696128773962,0.93,False,False
207206751,810.13,1.14,1.1443503752909037,1.0038161186762313,6.178417121719787,0.7408696128773962,0.93,True,False
207206751,850.45,1.47,1.4644959935286925,0.9962557779106752,7.9069027427963725,0.7408696128773962,0.93,False,False
207206751,864.16,1.13,1.1223732244303877,0.9932506410888388,6.059761150528522,0.7408696128773962,0.93,True,False
207206751,893.48,2.07,2.070153690470943,1.0000742466043204,11.176885403253946,0.7408696128773962,0.93,False,False
207206751,906.07,1.38,1.3766525716640186,0.9975743272927672,7.43263077732322,0.7408696128773962,0.93,True,False
207206751,939.35,0.93,0.9314473287479524,1.0015562674709166,5.028940653297353,0.7408696128773962,0.93,True,True
207206751,1220.01,1.3,1.2962396775455938,0.9971074442658413,6.99847668207768,0.7408696128773962,0.93,True,False
207206751,1270.88,1.18,1.17101478702013,0.9923854127289238,6.3223798987901905,0.7408696128773962,0.93,True,False
370239521,297.24,0.53,0.479195371594693,0.9041422105560245,4.662880323493739,0.4110724173470942,0.52,True,True
370239521,563.65,0.61,0.6158714210867967,1.0096252804701586,5.992826520070578,0.4110724173470942,0.52,True,True
370239521,575.76,0.83,0.8270976207833627,0.9965031575703165,8.048193806056243,0.4110724173470942,0.52,False,False
370239521,809.26,1.18,1.1716459065577782,0.9929202597947273,11.400871059353848,0.4110724173470942,0.52,False,False
370239521,820.43,1.86,1.8303075421578237,0.9840363129880771,17.810073991049418,0.4110724173470942,0.52,False,False
409732714,448.23,1.51,1.2010193422444517,0.7953770478440078,4.86968400591785,0.9865275371337618,1.34,True,False
409732714,940.48,1.26,0.11879269627380065,0.09427991767761956,0.48165993062469875,0.9865275371337618,1.34,True,True
230384389,457.17,1.32,0.8492579592179161,0.6433772418317546,10.483960477463125,0.32402180875959075,0.47,False,False
230384389,493.86,0.85,0.13651537103178812,0.16060631886092722,1.6852615143948688,0.32402180875959075,0.47,False,False
230384389,494.78,0.9,0.7185368546424626,0.7983742829360696,8.870228302139799,0.32402180875959075,0.47,False,False
230384389,707.93,1.41,1.2923386067335922,0.9165522033571577,15.953723753112532,0.32402180875959075,0.47,False,False
230384389,749.62,0.74,0.6163438671990515,0.8328971178365562,7.608671398490344,0.32402180875959075,0.47,False,False
230384389,753.07,0.85,0.8204470142784178,0.965231781504021,10.128293739476675,0.32402180875959075,0.47,False,False
230384389,756.81,0.71,0.7146704082908396,1.006578039846253,8.822497609364216,0.32402180875959075,0.47,False,False
230384389,1633.58,0.59,0.5612903655374547,0.9513396026058555,6.929044284842028,0.32402180875959075,0.47,True,False
141976247,261.72,0.86,0.21401845501371483,0.24885866862059863,1.6798606847296185,0.509610009828076,0.71,True,False
