campaign_id,arm,scenario,tic,template_source_id,template_status,template_k,pool_index,template_exp_per_night,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,dropped_period_s,crowdsap,cadence_code,cadence_s,n_strata_scheduled,match,control_campaign_id,null_serial,n_modes_injected,n_modes_rejected,shard_sha256
9200084456651220200,B,ampscale_1.3,8445665,3818342165139791232,not_detected,1,567,1.0,1.7,0.8,0,1.3,False,,,0,120.0,1,tol_0.25,9500000000000000567,-1,5,0,6035f647d85f33603dbf7547b5f60a8e947b143daa405f2a04ae31bba6103406
9200084456651220300,B,dropout,8445665,3818342165139791232,not_detected,1,567,1.0,1.7,0.8,0,1.0,True,812.76,,0,120.0,1,tol_0.25,9500000000000000567,-1,4,0,3f1817fe0b9a99579b1063625623af8d413a82bb59815c4874999828da92c5a4
9200135666240220000,B,nominal,13566624,1748833236082347136,confirmed,0,129,1.0,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,9500000000000000129,-1,2,0,efdbb40df882a43c39091a9ac53b157ad70e94ba944c8e9541852635299c7a4f
9300135666240220000,A,nominal,13566624,1748833236082347136,confirmed,0,129,1.0,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,,-1,2,0,a5e02f7805b43297518f49a52fa9473506e4753223990da6592c54d8da5dfeb0
9200135666241220000,B,nominal,13566624,3833982271367482624,not_detected,1,570,1.0,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,9500000000000000570,-1,2,0,3e8420d4c7af7b94324458b57136512e73a1af8b141e3e0a58ccbef53ae63cd2
9300135666241220000,A,nominal,13566624,3833982271367482624,not_detected,1,570,1.0,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,,-1,2,0,e759fc867dc71e3500ba41b12258fb2c48517c3afd7857edba7154c04ab6087e
9200135666242220000,B,nominal,13566624,925989657618712192,candidate,2,914,1.0,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,9500000000000000914,-1,2,0,9ef698a3cb65c85f3cf6db974270b2bd12fa05aaa5cda16989adea1e64664aab
9300135666242220000,A,nominal,13566624,925989657618712192,candidate,2,914,1.0,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,,-1,2,0,4702fdc1dac7877009445911f90b66d706fd17948b30a0ed8a387abe35c912b1
9200135666241110000,B,ladder_g1r1,13566624,3833982271367482624,not_detected,1,570,1.0,1.4,0.7,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000570,-1,2,0,65ed1a45431fe388f6527850e60ed685ea871297629f377c72aeac038de410c2
9200135666241120000,B,ladder_g1r2,13566624,3833982271367482624,not_detected,1,570,1.0,1.4,0.8,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000570,-1,2,0,713b567b150afdc38aa9151419112a0a563d7f535ae9f8c304954cd2e302c06c
9200135666241130000,B,ladder_g1r3,13566624,3833982271367482624,not_detected,1,570,1.0,1.4,0.9,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000570,-1,2,0,82a467b666950953c3fab81ed093b8152745144297ebce5d111cd7f4e14a19a2
9200135666241210000,B,ladder_g2r1,13566624,3833982271367482624,not_detected,1,570,1.0,1.7,0.7,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000570,-1,2,0,a3444abc61428944f09d66f49d13681260463dae4a700da94b396dd684560f3f
9200135666241230000,B,ladder_g2r3,13566624,3833982271367482624,not_detected,1,570,1.0,1.7,0.9,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000570,-1,2,0,0ecba509b73d76e363cc16b650bc6e1b7dea944550665456c891b0b7d3b841af
9200135666241310000,B,ladder_g3r1,13566624,3833982271367482624,not_detected,1,570,1.0,2.1,0.7,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000570,-1,2,0,78dac8fcef5695744981e0679d3b87897ee9b9b3314314f6155cbfeabfafd33e
9200135666241320000,B,ladder_g3r2,13566624,3833982271367482624,not_detected,1,570,1.0,2.1,0.8,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000570,-1,2,0,b11bc3bf939d963d99d1b1dcdc56ee492975aa13b572182ba52264ef03376f8b
9200135666241330000,B,ladder_g3r3,13566624,3833982271367482624,not_detected,1,570,1.0,2.1,0.9,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000570,-1,2,0,5e5d48202a4e1bc2cbdca2d37704e9c4e47bd28ccbb740807937e0c9a762366f
9200135666241221000,B,phase_1,13566624,3833982271367482624,not_detected,1,570,1.0,1.7,0.8,1,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000570,-1,2,0,7555c76fa98cd7cee74563f6188bb63db36cb0ca94655fb33a5ac1d6444eaae7
9200135666241222000,B,phase_2,13566624,3833982271367482624,not_detected,1,570,1.0,1.7,0.8,2,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000570,-1,2,0,bc91a9b8586cef593db80cc16dad7b61a8a9fc893d2e7a0093086ba6c9fd209b
9200135666241220100,B,ampscale_0.7,13566624,3833982271367482624,not_detected,1,570,1.0,1.7,0.8,0,0.7,False,,,0,120.0,1,tol_0.25,9500000000000000570,-1,2,0,43fc7c16dbd800fdecf692072869c516b16e286d96237a61fa779d0cb71af469
9200135666241220200,B,ampscale_1.3,13566624,3833982271367482624,not_detected,1,570,1.0,1.7,0.8,0,1.3,False,,,0,120.0,1,tol_0.25,9500000000000000570,-1,2,0,7ad4f2a79ccaa6f51ad0a2dcac6691e4b87b04a86fca8b6592b77262a668a5b4
9200135666241220300,B,dropout,13566624,3833982271367482624,not_detected,1,570,1.0,1.7,0.8,0,1.0,True,421.87,,0,120.0,1,tol_0.25,9500000000000000570,-1,1,0,2bbcc98126ddc3fbb80ff0c00854d508438c944bd9b5b03fb998ea916b92f2df
9200144486100220000,B,nominal,14448610,1809844934461976832,confirmed,0,147,1.0,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,9500000000000000147,-1,6,0,d58302d37ae8c08adf598b0fbbf3d66dda5a4daa87500a48607b12b10c132b6b
9300144486100220000,A,nominal,14448610,1809844934461976832,confirmed,0,147,1.0,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,6,0,52cd5b9863d92d30ab10b9d5d3b9a346b36f69272896526f92b3267c79c610c2
9200144486101220000,B,nominal,14448610,2950907725113997312,confirmed,1,366,1.0,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,9500000000000000366,-1,6,0,44206084ac26c192a464e7766378e57cc5105fc7d2e737d7cc4a5f69a624774b
9300144486101220000,A,nominal,14448610,2950907725113997312,confirmed,1,366,1.0,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,6,0,4508a53d6619b3b2a00a4ec9245dd3eafd39131925ba1ee3dd1dbe2c2df0fa4d
9200144486102220000,B,nominal,14448610,152371871863155840,candidate,2,92,2.0,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,9500000000000000092,-1,6,0,4fe43b1dec0b70df2e26eaa43fa1b83473808ebc65594018222bf392d6d37ed6
9300144486102220000,A,nominal,14448610,152371871863155840,candidate,2,92,2.0,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,6,0,183fe8b6fc67e64de34203e36da24b36af6761289376aeacdd73bcfe51f13fe9
9200144486101110000,B,ladder_g1r1,14448610,2950907725113997312,confirmed,1,366,1.0,1.4,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000366,-1,6,0,4d2b8bf4ceb0b327935abe32eb708a9ae117f621cff4bdbcb43dce8f09868009
