campaign_id,arm,scenario,tic,template_source_id,template_status,template_k,pool_index,template_exp_per_night,template_wg_contrasts,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,dropped_period_s,crowdsap,cadence_code,cadence_s,n_strata_scheduled,match,control_campaign_id,null_serial,n_modes_injected,n_modes_rejected,shard_sha256
9200084456651220200,B,ampscale_1.3,8445665,2250247788602155904,not_detected,1,257,2.0,60,1.7,0.8,0,1.3,False,,,0,120.0,1,tol_0.25,9500000000000000257,-1,5,0,e7e0835fede1b9b8b4da560b65b04fa69dcd3d82e596222b0015a39ea9242034
9200084456651220300,B,dropout,8445665,2250247788602155904,not_detected,1,257,2.0,60,1.7,0.8,0,1.0,True,812.76,,0,120.0,1,tol_0.25,9500000000000000257,-1,4,0,a05d59ee26ed1a804c29e655fa2a273e594538b626e979dad1361bf5190eecc4
9200135666240220000,B,nominal,13566624,4089730604499317760,not_detected,0,610,1.0,8,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,9500000000000000610,-1,2,0,a297d8df5975c2296ef5eedc7fbd5bd2e48df5573ad5da628fc746d48619855e
9300135666240220000,A,nominal,13566624,4089730604499317760,not_detected,0,610,1.0,8,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,,-1,2,0,c3640f00449be3caf3c4500f1e313cac86a718e405c37eb845022f8e44c280b5
9200135666241220000,B,nominal,13566624,3238056353617774336,not_detected,1,451,1.0,62,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,9500000000000000451,-1,2,0,938bbcc484515e852ccf51986fb8000144aa91ce2b2931ef854b5ba2b2f5f0a4
9300135666241220000,A,nominal,13566624,3238056353617774336,not_detected,1,451,1.0,62,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,,-1,2,0,b67748a793baabbee97444ba00c932b6ed6f7f0a2b98342140e92a3e4186edd4
9200135666242220000,B,nominal,13566624,1555179177955997440,candidate,2,98,1.0,373,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,9500000000000000098,-1,2,0,84cc23a3cf00c1090f686575e602fe0f042e89d9991bddf9717571ca4bd11b7a
9300135666242220000,A,nominal,13566624,1555179177955997440,candidate,2,98,1.0,373,1.7,0.8,0,1.0,False,,,0,120.0,3,tol_0.25,,-1,2,0,fd24a2bde7a510c9463fa66be0eb9e390886f37ad20b85018ebf5e2dcad48b77
9200135666241110000,B,ladder_g1r1,13566624,3238056353617774336,not_detected,1,451,1.0,62,1.4,0.7,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000451,-1,2,0,ab72fb88cfe42abe4fa38e155be6b20b42710f530da74c9ac6f02fa2b862b50d
9200135666241120000,B,ladder_g1r2,13566624,3238056353617774336,not_detected,1,451,1.0,62,1.4,0.8,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000451,-1,2,0,896217988288767fa8afddcd8b07623f1050caa78973db3c2cba1cf0096c8082
9200135666241130000,B,ladder_g1r3,13566624,3238056353617774336,not_detected,1,451,1.0,62,1.4,0.9,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000451,-1,2,0,6f4cb07aa324d88e97a6b14aa51cd8b5eff732f0be3053aeb688e37fccbe65f6
9200135666241210000,B,ladder_g2r1,13566624,3238056353617774336,not_detected,1,451,1.0,62,1.7,0.7,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000451,-1,2,0,f179dbafe007c15eb125d67ce5c93ce299d68b8c43f886387f1bb75070667518
9200135666241230000,B,ladder_g2r3,13566624,3238056353617774336,not_detected,1,451,1.0,62,1.7,0.9,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000451,-1,2,0,a373e4924b81b7c45bd9b53100ac46cd57582d261f0c8aea5e3528cc2b1ff200
9200135666241310000,B,ladder_g3r1,13566624,3238056353617774336,not_detected,1,451,1.0,62,2.1,0.7,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000451,-1,2,0,0a5bee0b0572687bf20687702df4ed8b72e6b881f562fe42371ec8b61a6e59af
9200135666241320000,B,ladder_g3r2,13566624,3238056353617774336,not_detected,1,451,1.0,62,2.1,0.8,0,1.0,False,,,0,120.0,1,tol_0.25,9500000000000000451,-1,2,0,0eef1125b9a107b2fc9d149b22f162d892d031a5e2ac431dd50a167e8897a41e
