,R-hat,ESS Bulk,ESS Tail,MCSE Mean,Status
ztfgc_init_artist_effect[226],1.0000,25158,9339,0.0000,Pass
ztfgc_init_artist_effect[227],1.0000,28888,9278,0.0000,Pass
ztfgc_init_artist_effect[228],1.0000,24955,9031,0.0000,Pass
ztfgc_init_artist_effect[229],1.0000,23137,9206,0.0000,Pass
ztfgc_init_artist_effect[230],1.0000,23616,9111,0.0000,Pass
ztfgc_init_artist_effect[231],1.0000,23941,9762,0.0000,Pass
ztfgc_init_artist_effect[232],1.0000,25685,9048,0.0000,Pass
ztfgc_init_artist_effect[233],1.0000,23804,8922,0.0000,Pass
ztfgc_init_artist_effect[234],1.0000,23718,9389,0.0000,Pass
ztfgc_init_artist_effect[235],1.0000,24079,9707,0.0000,Pass
ztfgc_init_artist_effect[236],1.0000,24624,9948,0.0000,Pass
ztfgc_init_artist_effect[237],1.0000,25807,9406,0.0000,Pass
ztfgc_init_artist_effect[238],1.0000,24396,9217,0.0000,Pass
ztfgc_init_artist_effect[239],1.0000,27135,7514,0.0000,Pass
ztfgc_init_artist_effect[240],1.0000,25015,8941,0.0000,Pass
ztfgc_init_artist_effect[241],1.0000,25367,9255,0.0000,Pass
ztfgc_init_artist_effect[242],1.0000,27108,8893,0.0000,Pass
ztfgc_init_artist_effect[243],1.0000,24511,9725,0.0000,Pass
ztfgc_init_artist_effect[244],1.0000,26492,10458,0.0000,Pass
ztfgc_init_artist_effect[245],1.0000,26178,8705,0.0000,Pass
ztfgc_init_artist_effect[246],1.0000,23377,9737,0.0000,Pass
ztfgc_init_artist_effect[247],1.0000,25874,7973,0.0000,Pass
ztfgc_init_artist_effect[248],1.0000,22260,9253,0.0000,Pass
ztfgc_init_artist_effect[249],1.0000,24645,8519,0.0000,Pass
ztfgc_init_artist_effect[250],1.0000,24509,8995,0.0000,Pass
ztfgc_init_artist_effect[251],1.0000,26196,8941,0.0000,Pass
ztfgc_init_artist_effect[252],1.0000,24881,8920,0.0000,Pass
ztfgc_init_artist_effect[253],1.0000,24213,9415,0.0000,Pass
ztfgc_init_artist_effect[254],1.0000,24411,9453,0.0000,Pass
ztfgc_init_artist_effect[255],1.0000,24503,9006,0.0000,Pass
ztfgc_init_artist_effect[256],1.0000,22809,9792,0.0000,Pass
ztfgc_init_artist_effect[257],1.0000,27867,9243,0.0000,Pass
ztfgc_init_artist_effect[258],1.0000,25418,9323,0.0000,Pass
ztfgc_init_artist_effect[259],1.0000,23512,8470,0.0000,Pass
ztfgc_init_artist_effect[260],1.0000,27364,8228,0.0000,Pass
ztfgc_init_artist_effect[261],1.0000,26984,8425,0.0000,Pass
ztfgc_init_artist_effect[262],1.0000,31019,8453,0.0000,Pass
ztfgc_init_artist_effect[263],1.0000,26899,8340,0.0000,Pass
ztfgc_init_artist_effect[264],1.0000,27231,8583,0.0000,Pass
ztfgc_init_artist_effect[265],1.0000,28771,8358,0.0000,Pass
ztfgc_init_artist_effect[266],1.0000,24229,8766,0.0000,Pass
ztfgc_init_artist_effect[267],1.0000,30867,8694,0.0000,Pass
ztfgc_init_artist_effect[268],1.0000,27327,7782,0.0000,Pass
ztfgc_init_artist_effect[269],1.0000,26899,8842,0.0000,Pass
ztfgc_init_artist_effect[270],1.0000,25671,8677,0.0000,Pass
ztfgc_init_artist_effect[271],1.0000,25581,9096,0.0000,Pass
ztfgc_init_artist_effect[272],1.0000,24703,9028,0.0000,Pass
ztfgc_init_artist_effect[273],1.0000,26800,9048,0.0000,Pass
ztfgc_init_artist_effect[274],1.0000,28235,8294,0.0000,Pass
ztfgc_init_artist_effect[275],1.0000,28384,8750,0.0000,Pass
ztfgc_init_artist_effect[276],1.0000,26416,7854,0.0000,Pass
ztfgc_init_artist_effect[277],1.0000,26766,8512,0.0000,Pass
ztfgc_init_artist_effect[278],1.0000,25556,9329,0.0000,Pass
ztfgc_init_artist_effect[279],1.0000,28678,8855,0.0000,Pass
ztfgc_init_artist_effect[280],1.0000,26163,8283,0.0000,Pass
ztfgc_init_artist_effect[281],1.0000,26776,9321,0.0000,Pass
ztfgc_init_artist_effect[282],1.0000,25026,9194,0.0000,Pass
ztfgc_init_artist_effect[283],1.0000,26384,8570,0.0000,Pass
ztfgc_init_artist_effect[284],1.0000,27116,8828,0.0000,Pass
ztfgc_init_artist_effect[285],1.0000,28286,8782,0.0000,Pass
ztfgc_init_artist_effect[286],1.0000,25788,8732,0.0000,Pass
ztfgc_init_artist_effect[287],1.0000,29506,8745,0.0000,Pass
ztfgc_init_artist_effect[288],1.0000,26177,8556,0.0000,Pass
ztfgc_init_artist_effect[289],1.0000,24747,8584,0.0000,Pass
ztfgc_init_artist_effect[290],1.0000,25827,9288,0.0000,Pass
ztfgc_init_artist_effect[291],1.0000,26306,8508,0.0000,Pass
ztfgc_init_artist_effect[292],1.0000,27662,6770,0.0000,Pass
ztfgc_init_artist_effect[293],1.0000,28054,9024,0.0000,Pass
ztfgc_init_artist_effect[294],1.0000,24355,8126,0.0000,Pass
ztfgc_init_artist_effect[295],1.0000,28564,8851,0.0000,Pass
ztfgc_init_artist_effect[296],1.0000,26358,9071,0.0000,Pass
ztfgc_init_artist_effect[297],1.0000,26741,9008,0.0000,Pass
ztfgc_init_artist_effect[298],1.0000,25992,8655,0.0000,Pass
ztfgc_init_artist_effect[299],1.0000,29621,8560,0.0000,Pass
ztfgc_init_artist_effect[300],1.0000,27756,8101,0.0000,Pass
ztfgc_init_artist_effect[301],1.0000,26835,8403,0.0000,Pass
ztfgc_init_artist_effect[302],1.0000,23021,8773,0.0000,Pass
ztfgc_init_artist_effect[303],1.0000,29077,7958,0.0000,Pass
ztfgc_init_artist_effect[304],1.0000,30621,8549,0.0000,Pass
ztfgc_init_artist_effect[305],1.0000,25848,8040,0.0000,Pass
ztfgc_init_artist_effect[306],1.0000,26382,8170,0.0000,Pass
ztfgc_init_artist_effect[307],1.0000,26936,9153,0.0000,Pass
ztfgc_init_artist_effect[308],1.0000,28974,8425,0.0000,Pass
ztfgc_init_artist_effect[309],1.0000,25334,8352,0.0000,Pass
ztfgc_init_artist_effect[310],1.0000,26650,8665,0.0000,Pass
ztfgc_init_artist_effect[311],1.0000,25156,8922,0.0000,Pass
ztfgc_init_artist_effect[312],1.0000,26352,9174,0.0000,Pass
ztfgc_init_artist_effect[313],1.0000,26776,8172,0.0000,Pass
ztfgc_init_artist_effect[314],1.0000,26975,9206,0.0000,Pass
ztfgc_init_artist_effect[315],1.0000,26547,8507,0.0000,Pass
ztfgc_init_artist_effect[316],1.0000,26479,7870,0.0000,Pass
ztfgc_init_artist_effect[317],1.0000,25857,9309,0.0000,Pass
ztfgc_init_artist_effect[318],1.0000,27674,8803,0.0000,Pass
ztfgc_init_artist_effect[319],1.0000,25705,9273,0.0000,Pass
ztfgc_init_artist_effect[320],1.0000,25088,8582,0.0000,Pass
ztfgc_init_artist_effect[321],1.0000,27204,8135,0.0000,Pass
ztfgc_init_artist_effect[322],1.0000,27026,7789,0.0000,Pass
ztfgc_init_artist_effect[323],1.0000,25738,8455,0.0000,Pass
ztfgc_init_artist_effect[324],1.0000,27917,8652,0.0000,Pass
ztfgc_init_artist_effect[325],1.0000,27740,9016,0.0000,Pass
ztfgc_init_artist_effect[326],1.0000,25983,9124,0.0000,Pass
ztfgc_init_artist_effect[327],1.0000,27466,8505,0.0000,Pass
ztfgc_init_artist_effect[328],1.0000,23525,9222,0.0000,Pass
ztfgc_init_artist_effect[329],1.0000,26986,8378,0.0000,Pass
ztfgc_init_artist_effect[330],1.0000,25787,8480,0.0000,Pass
ztfgc_init_artist_effect[331],1.0000,24541,9207,0.0000,Pass
ztfgc_init_artist_effect[332],1.0000,25048,8366,0.0000,Pass
ztfgc_init_artist_effect[333],1.0000,30709,9149,0.0000,Pass
ztfgc_init_artist_effect[334],1.0000,27407,8470,0.0000,Pass
ztfgc_init_artist_effect[335],1.0000,27768,8637,0.0000,Pass
ztfgc_init_artist_effect[336],1.0000,27801,8841,0.0000,Pass
ztfgc_init_artist_effect[337],1.0000,27826,8732,0.0000,Pass
ztfgc_init_artist_effect[338],1.0000,28290,8574,0.0000,Pass
ztfgc_init_artist_effect[339],1.0000,26620,8736,0.0000,Pass
ztfgc_init_artist_effect[340],1.0000,24483,8020,0.0000,Pass
ztfgc_init_artist_effect[341],1.0000,26849,8680,0.0000,Pass
ztfgc_init_artist_effect[342],1.0000,27461,8117,0.0000,Pass
ztfgc_init_artist_effect[343],1.0000,24664,8788,0.0000,Pass
ztfgc_init_artist_effect[344],1.0000,25232,8019,0.0000,Pass
ztfgc_init_artist_effect[345],1.0000,25777,8885,0.0000,Pass
ztfgc_init_artist_effect[346],1.0000,26134,8773,0.0000,Pass
ztfgc_init_artist_effect[347],1.0000,26002,8289,0.0000,Pass
ztfgc_init_artist_effect[348],1.0000,24643,8054,0.0000,Pass
ztfgc_init_artist_effect[349],1.0000,25815,9043,0.0000,Pass
ztfgc_init_artist_effect[350],1.0000,26015,9527,0.0000,Pass
ztfgc_init_artist_effect[351],1.0000,26578,8893,0.0000,Pass
ztfgc_init_artist_effect[352],1.0000,25116,8133,0.0000,Pass
ztfgc_init_artist_effect[353],1.0000,28032,8640,0.0000,Pass
ztfgc_init_artist_effect[354],1.0000,25938,9306,0.0000,Pass
ztfgc_init_artist_effect[355],1.0000,28102,8537,0.0000,Pass
