b_sid,control_sid,cluster,template_k,b_status,control_status,b_usable,control_usable,pair_usable,D_B,D_C,R_B,R_C
9204532101320220000,9500000000000000542,453210132,0,not_detected,not_detected,True,True,True,False,False,False,False
9204532101321220000,9500000000000000451,453210132,1,not_detected,not_detected,True,True,True,False,False,False,False
9204532101322220000,9500000000000000089,453210132,2,confirmed,confirmed,True,True,True,True,True,False,False
9204612032260220000,9500000000000000496,461203226,0,confirmed,not_detected,True,True,True,True,False,True,False
9204612032261220000,9500000000000000472,461203226,1,not_detected,not_detected,True,True,True,False,False,False,False
9204612032262220000,9500000000000000042,461203226,2,confirmed,candidate,True,True,True,True,False,True,False
9206005898020220000,9500000000000000369,600589802,0,not_detected,not_detected,True,True,True,False,False,False,False
9206005898021220000,9500000000000000463,600589802,1,candidate,not_detected,True,True,True,False,False,False,False
9206005898022220000,9500000000000000098,600589802,2,confirmed,candidate,True,True,True,True,False,True,False
9206103375530220000,9500000000000000084,610337553,0,not_detected,not_detected,True,True,True,False,False,False,False
9206103375531220000,9500000000000000449,610337553,1,confirmed,confirmed,True,True,True,True,True,False,False
9206103375532220000,9500000000000000353,610337553,2,confirmed,not_detected,True,True,True,True,False,True,False
9206311612220220000,9500000000000000084,631161222,0,not_detected,not_detected,True,True,True,False,False,False,False
9206311612221220000,9500000000000000477,631161222,1,confirmed,not_detected,True,True,True,True,False,False,False
9206311612222220000,9500000000000000141,631161222,2,confirmed,confirmed,True,True,True,True,True,False,False
9206313449570220000,9500000000000000786,631344957,0,not_detected,confirmed,True,True,True,False,True,False,False
9206313449571220000,9500000000000000156,631344957,1,candidate,confirmed,True,True,True,False,True,False,False
9206313449572220000,9500000000000000141,631344957,2,confirmed,confirmed,True,True,True,True,True,False,False
9206325438790220000,9500000000000000786,632543879,0,not_detected,confirmed,True,True,True,False,True,False,False
9206325438791220000,9500000000000000156,632543879,1,confirmed,confirmed,True,True,True,True,True,True,False
9206325438792220000,9500000000000000141,632543879,2,confirmed,confirmed,True,True,True,True,True,False,False
9206402014500220000,9500000000000000783,640201450,0,confirmed,confirmed,True,True,True,True,True,False,False
9206402014501220000,9500000000000000408,640201450,1,not_detected,not_detected,True,True,True,False,False,False,False
9206402014502220000,9500000000000000291,640201450,2,confirmed,confirmed,True,True,True,True,True,False,False
9206514625820220000,9500000000000000675,651462582,0,confirmed,confirmed,True,True,True,True,True,False,False
9206514625821220000,9500000000000000286,651462582,1,confirmed,confirmed,True,True,True,True,True,False,False
9206514625822220000,9500000000000000218,651462582,2,confirmed,confirmed,True,True,True,True,True,True,False
9206611196730220000,9500000000000000084,661119673,0,not_detected,not_detected,True,True,True,False,False,False,False
9206611196731220000,9500000000000000866,661119673,1,confirmed,not_detected,True,True,True,True,False,True,False
9206611196732220000,9500000000000000099,661119673,2,confirmed,not_detected,True,True,True,True,False,True,False
9206838374510220000,9500000000000000632,683837451,0,not_detected,not_detected,True,True,True,False,False,False,False
9206838374511220000,9500000000000000520,683837451,1,confirmed,confirmed,True,True,True,True,True,False,False
9206838374512220000,9500000000000000353,683837451,2,not_detected,not_detected,True,True,True,False,False,False,False
9206854105700220000,9500000000000000512,685410570,0,not_detected,not_detected,True,True,True,False,False,False,False
9206854105701220000,9500000000000000477,685410570,1,not_detected,not_detected,True,True,True,False,False,False,False
9206854105702220000,9500000000000000218,685410570,2,confirmed,confirmed,True,True,True,True,True,True,False
9206860442190220000,9500000000000000517,686044219,0,not_detected,confirmed,True,True,True,False,True,False,False
9206860442191220000,9500000000000000408,686044219,1,not_detected,not_detected,True,True,True,False,False,False,False
9206860442192220000,9500000000000000141,686044219,2,confirmed,confirmed,True,True,True,True,True,False,False
9207124068090220000,9500000000000000128,712406809,0,confirmed,confirmed,True,True,True,True,True,False,False
9207124068091220000,9500000000000000900,712406809,1,confirmed,confirmed,True,True,True,True,True,False,False
9207124068092220000,9500000000000000170,712406809,2,confirmed,confirmed,True,True,True,True,True,False,False
9207241288060220000,9500000000000000632,724128806,0,candidate,not_detected,True,True,True,False,False,False,False
9207241288061220000,9500000000000000490,724128806,1,not_detected,not_detected,True,True,True,False,False,False,False
9207241288062220000,9500000000000000252,724128806,2,confirmed,confirmed,True,True,True,True,True,True,False
9207330303840220000,9500000000000000845,733030384,0,not_detected,not_detected,True,True,True,False,False,False,False
9207330303841220000,9500000000000000286,733030384,1,confirmed,confirmed,True,True,True,True,True,False,False
9207330303842220000,9500000000000000218,733030384,2,confirmed,confirmed,True,True,True,True,True,True,False
9207620005030220000,9500000000000000769,762000503,0,not_detected,not_detected,True,True,True,False,False,False,False
9207620005031220000,9500000000000000326,762000503,1,not_detected,not_detected,True,True,True,False,False,False,False
9207620005032220000,9500000000000000446,762000503,2,confirmed,confirmed,True,True,True,True,True,False,False
9207755642850220000,9500000000000000544,775564285,0,not_detected,not_detected,True,True,True,False,False,False,False
9207755642851220000,9500000000000000155,775564285,1,confirmed,confirmed,True,True,True,True,True,False,False
9207755642852220000,9500000000000000259,775564285,2,confirmed,candidate,True,True,True,True,False,True,False
9208001263770220000,9500000000000000409,800126377,0,not_detected,not_detected,True,True,True,False,False,False,False
9208001263771220000,9500000000000000870,800126377,1,candidate,not_detected,True,True,True,False,False,False,False
9208001263772220000,9500000000000000601,800126377,2,confirmed,not_detected,True,True,True,True,False,True,False
9208001538450220000,9500000000000000610,800153845,0,not_detected,not_detected,True,True,True,False,False,False,False
9208001538451220000,9500000000000000674,800153845,1,confirmed,not_detected,True,True,True,True,False,True,False
9208001538452220000,9500000000000000089,800153845,2,confirmed,confirmed,True,True,True,True,True,True,False
9208004208120220000,9500000000000000783,800420812,0,confirmed,confirmed,True,True,True,True,True,False,False
9208004208121220000,9500000000000000326,800420812,1,not_detected,not_detected,True,True,True,False,False,False,False
9208004208122220000,9500000000000000141,800420812,2,confirmed,confirmed,True,True,True,True,True,True,False
9208048997340220000,9500000000000000632,804899734,0,candidate,not_detected,True,True,True,False,False,False,False
9208048997341220000,9500000000000000520,804899734,1,confirmed,confirmed,True,True,True,True,True,False,False
9208048997342220000,9500000000000000353,804899734,2,confirmed,not_detected,True,True,True,True,False,True,False
9208424510900220000,9500000000000000512,842451090,0,not_detected,not_detected,True,True,True,False,False,False,False
9208424510901220000,9500000000000000477,842451090,1,not_detected,not_detected,True,True,True,False,False,False,False
9208424510902220000,9500000000000000218,842451090,2,confirmed,confirmed,True,True,True,True,True,True,False
9209002281440220000,9500000000000000632,900228144,0,confirmed,not_detected,True,True,True,True,False,True,False
9209002281441220000,9500000000000000921,900228144,1,candidate,confirmed,True,True,True,False,True,False,False
9209002281442220000,9500000000000000353,900228144,2,confirmed,not_detected,True,True,True,True,False,False,False
9209007625640220000,9500000000000000845,900762564,0,not_detected,not_detected,True,True,True,False,False,False,False
9209007625641220000,9500000000000000286,900762564,1,confirmed,confirmed,True,True,True,True,True,False,False
9209007625642220000,9500000000000000218,900762564,2,confirmed,confirmed,True,True,True,True,True,False,False
9209025145720220000,9500000000000000517,902514572,0,confirmed,confirmed,True,True,True,True,True,False,False
9209025145721220000,9500000000000000408,902514572,1,confirmed,not_detected,True,True,True,True,False,False,False
9209025145722220000,9500000000000000141,902514572,2,confirmed,confirmed,True,True,True,True,True,False,False
9209510160500220000,9500000000000000383,951016050,0,not_detected,not_detected,True,True,True,False,False,False,False
9209510160501220000,9500000000000000410,951016050,1,not_detected,not_detected,True,True,True,False,False,False,False
9209510160502220000,9500000000000000141,951016050,2,confirmed,confirmed,True,True,True,True,True,False,False
9210015453550220000,9500000000000000786,1001545355,0,not_detected,confirmed,True,True,True,False,True,False,False
9210015453551220000,9500000000000000477,1001545355,1,not_detected,not_detected,True,True,True,False,False,False,False
9210015453552220000,9500000000000000141,1001545355,2,confirmed,confirmed,True,True,True,True,True,False,False
9211022426920220000,9500000000000000675,1102242692,0,confirmed,confirmed,True,True,True,True,True,False,False
9211022426921220000,9500000000000000477,1102242692,1,not_detected,not_detected,True,True,True,False,False,False,False
9211022426922220000,9500000000000000291,1102242692,2,confirmed,confirmed,True,True,True,True,True,False,False
9211023464720220000,9500000000000000383,1102346472,0,not_detected,not_detected,True,True,True,False,False,False,False
9211023464721220000,9500000000000000408,1102346472,1,not_detected,not_detected,True,True,True,False,False,False,False
9211023464722220000,9500000000000000141,1102346472,2,confirmed,confirmed,True,True,True,True,True,True,False
9211085050750220000,9500000000000000786,1108505075,0,confirmed,confirmed,True,True,True,True,True,False,False
9211085050751220000,9500000000000000477,1108505075,1,confirmed,not_detected,True,True,True,True,False,False,False
9211085050752220000,9500000000000000218,1108505075,2,confirmed,confirmed,True,True,True,True,True,False,False
9211734239620220000,9500000000000000084,1173423962,0,not_detected,not_detected,True,True,True,False,False,False,False
9211734239621220000,9500000000000000622,1173423962,1,confirmed,candidate,True,True,True,True,False,True,False
9211734239622220000,9500000000000000353,1173423962,2,confirmed,not_detected,True,True,True,True,False,True,False
9212011942720220000,9500000000000000517,1201194272,0,not_detected,confirmed,True,True,True,False,True,False,False
9212011942721220000,9500000000000000408,1201194272,1,not_detected,not_detected,True,True,True,False,False,False,False
9212011942722220000,9500000000000000141,1201194272,2,confirmed,confirmed,True,True,True,True,True,False,False
9213091550880220000,9500000000000000786,1309155088,0,not_detected,confirmed,True,True,True,False,True,False,False
9213091550881220000,9500000000000000477,1309155088,1,not_detected,not_detected,True,True,True,False,False,False,False
9213091550882220000,9500000000000000141,1309155088,2,confirmed,confirmed,True,True,True,True,True,False,False
9218604393620220000,9500000000000000786,1860439362,0,not_detected,confirmed,True,True,True,False,True,False,False
9218604393621220000,9500000000000000286,1860439362,1,confirmed,confirmed,True,True,True,True,True,False,False
9218604393622220000,9500000000000000108,1860439362,2,confirmed,confirmed,True,True,True,True,True,True,False
9219440494270220000,9500000000000000383,1944049427,0,not_detected,not_detected,True,True,True,False,False,False,False
9219440494271220000,9500000000000000408,1944049427,1,not_detected,not_detected,True,True,True,False,False,False,False
9219440494272220000,9500000000000000141,1944049427,2,confirmed,confirmed,True,True,True,True,True,True,False
9219892588830220000,9500000000000000786,1989258883,0,confirmed,confirmed,True,True,True,True,True,False,False
9219892588831220000,9500000000000000458,1989258883,1,not_detected,not_detected,True,True,True,False,False,False,False
9219892588832220000,9500000000000000098,1989258883,2,confirmed,candidate,True,True,True,True,False,True,False
9219898666340220000,9500000000000000084,1989866634,0,not_detected,not_detected,True,True,True,False,False,False,False
9219898666341220000,9500000000000000622,1989866634,1,confirmed,candidate,True,True,True,True,False,True,False
